year,month,day,hour,minute,second,HR,HR_conf,Activity,walk_stp,run_stp,scd,r,Unnamed: 8
2025,2,21,16,32,8,550,100,0,0,0,3,1615,
2025,2,21,16,32,9,550,100,0,0,0,3,1616,
2025,2,21,16,32,10,550,100,0,0,0,3,1617,
2025,2,21,16,32,11,550,100,0,0,0,3,1617,
2025,2,21,16,32,12,540,100,0,0,0,3,1618,
2025,2,21,16,32,13,540,100,0,0,0,3,1618,
2025,2,21,16,32,14,540,100,0,0,0,3,1617,
2025,2,21,16,32,15,540,100,0,0,0,3,1615,
2025,2,21,16,32,16,540,100,0,0,0,3,1614,
2025,2,21,16,32,17,540,100,0,0,0,3,1612,
2025,2,21,16,32,18,540,100,0,0,0,3,1611,
2025,2,21,16,32,19,530,100,0,0,0,3,1610,
2025,2,21,16,32,20,530,100,0,0,0,3,1609,
2025,2,21,16,32,21,530,100,0,0,0,3,1608,
2025,2,21,16,32,22,530,100,0,0,0,3,1607,
2025,2,21,16,32,23,530,100,0,0,0,3,1602,
2025,2,21,16,32,24,530,100,0,0,0,3,1598,
2025,2,21,16,32,25,530,100,0,0,0,3,1594,
2025,2,21,16,32,26,530,100,0,0,0,3,1590,
2025,2,21,16,32,27,530,100,0,0,0,3,1587,
2025,2,21,16,32,28,530,100,0,0,0,3,1585,
2025,2,21,16,32,29,530,100,0,0,0,3,1582,
2025,2,21,16,32,30,530,100,0,0,0,3,1580,
2025,2,21,16,32,31,540,100,0,0,0,3,1578,
2025,2,21,16,32,32,540,100,0,0,0,3,1579,
2025,2,21,16,32,33,550,100,0,0,0,3,1581,
2025,2,21,16,32,34,550,100,0,0,0,3,1582,
2025,2,21,16,32,35,560,100,0,0,0,3,1582,
2025,2,21,16,32,36,570,100,0,0,0,3,1582,
2025,2,21,16,32,37,580,100,0,0,0,3,1582,
2025,2,21,16,32,38,590,100,0,0,0,3,1582,
2025,2,21,16,32,39,590,100,0,0,0,3,1582,
2025,2,21,16,32,40,600,100,0,0,0,3,1582,
2025,2,21,16,32,41,600,100,0,0,0,3,1582,
2025,2,21,16,32,42,600,100,0,0,0,3,1573,
2025,2,21,16,32,43,600,100,0,0,0,3,1564,
2025,2,21,16,32,44,600,100,0,0,0,3,1557,
2025,2,21,16,32,45,600,100,0,0,0,3,1550,
2025,2,21,16,32,46,600,100,0,0,0,3,1546,
2025,2,21,16,32,47,600,100,0,0,0,3,1541,
2025,2,21,16,32,48,600,100,0,0,0,3,1539,
2025,2,21,16,32,49,600,100,0,0,0,3,1536,
2025,2,21,16,32,50,600,100,0,0,0,3,1535,
2025,2,21,16,32,51,600,100,0,0,0,3,1535,
2025,2,21,16,32,52,590,100,0,0,0,3,1535,
2025,2,21,16,32,53,590,100,0,0,0,3,1535,
2025,2,21,16,32,54,580,100,0,0,0,3,1536,
2025,2,21,16,32,55,580,100,0,0,0,3,1536,
2025,2,21,16,32,56,570,100,0,0,0,3,1536,
2025,2,21,16,32,57,570,100,0,0,0,3,1537,
2025,2,21,16,32,58,570,100,0,0,0,3,1537,
2025,2,21,16,32,59,570,100,0,0,0,3,1537,
2025,2,21,16,33,0,570,100,0,0,0,3,1537,
2025,2,21,16,33,1,570,100,0,0,0,3,1538,
2025,2,21,16,33,2,580,100,0,0,0,3,1539,
2025,2,21,16,33,3,580,100,0,0,0,3,1540,
2025,2,21,16,33,4,580,100,0,0,0,3,1541,
