year,month,day,hour,minute,second,HR,HR_conf,Activity,walk_stp,run_stp,scd,r,Unnamed: 8
2025,2,21,11,30,15,1240,100,2,387,0,3,584,
2025,2,21,11,30,16,1240,100,2,388,0,3,584,
2025,2,21,11,30,17,1240,100,2,390,0,3,584,
2025,2,21,11,30,18,1250,100,2,392,0,3,584,
2025,2,21,11,30,19,1250,100,2,394,0,3,584,
2025,2,21,11,30,20,1250,100,2,396,0,3,584,
2025,2,21,11,30,21,1240,100,2,398,0,3,584,
2025,2,21,11,30,22,1240,100,2,400,0,3,584,
2025,2,21,11,30,23,1240,100,2,402,0,3,584,
2025,2,21,11,30,24,1240,100,2,404,0,3,584,
2025,2,21,11,30,25,1240,100,2,406,0,3,584,
2025,2,21,11,30,26,1230,100,2,408,0,3,584,
2025,2,21,11,30,27,1230,100,2,410,0,3,584,
2025,2,21,11,30,28,1230,100,2,412,0,3,584,
2025,2,21,11,30,29,1230,100,2,414,0,3,584,
2025,2,21,11,30,30,1230,100,2,416,0,3,584,
2025,2,21,11,30,31,1230,100,2,418,0,3,584,
2025,2,21,11,30,32,1230,100,2,420,0,3,584,
2025,2,21,11,30,33,1230,100,2,422,0,3,584,
2025,2,21,11,30,34,1240,100,2,424,0,3,584,
2025,2,21,11,30,35,1240,100,2,425,0,3,584,
2025,2,21,11,30,36,1250,100,2,427,0,3,584,
2025,2,21,11,30,37,1250,100,2,429,0,3,584,
2025,2,21,11,30,38,1260,100,2,431,0,3,584,
2025,2,21,11,30,39,1260,100,2,433,0,3,584,
2025,2,21,11,30,40,1270,100,2,435,0,3,584,
2025,2,21,11,30,41,1280,100,2,437,0,3,584,
2025,2,21,11,30,42,1280,100,2,439,0,3,584,
2025,2,21,11,30,43,1280,100,2,441,0,3,584,
2025,2,21,11,30,44,1280,100,2,443,0,3,584,
2025,2,21,11,30,45,1280,100,2,445,0,3,584,
2025,2,21,11,30,46,1280,100,2,447,0,3,584,
2025,2,21,11,30,47,1280,100,2,449,0,3,584,
2025,2,21,11,30,48,1280,100,2,451,0,3,584,
2025,2,21,11,30,49,1280,100,2,453,0,3,584,
2025,2,21,11,30,50,1290,100,2,455,0,3,584,
2025,2,21,11,30,51,1290,100,2,457,0,3,584,
2025,2,21,11,30,52,1290,100,2,459,0,3,584,
2025,2,21,11,30,53,1280,100,2,461,0,3,584,
2025,2,21,11,30,54,1280,100,2,462,0,3,584,
2025,2,21,11,30,55,1280,100,2,464,0,3,584,
