year,month,day,hour,minute,second,HR,HR_conf,Activity,walk_stp,run_stp,scd,r,Acc_X,Acc_Y,Acc_Z,Unnamed: 11
2025,2,27,17,48,51,780,100,0,0,0,3,1439,-21,1,-1007,
2025,2,27,17,48,52,780,100,0,0,0,3,1437,-18,0,-1009,
2025,2,27,17,48,53,780,100,0,0,0,3,1435,-21,0,-1009,
2025,2,27,17,48,54,780,100,0,0,0,3,1433,-20,0,-1005,
2025,2,27,17,48,55,780,100,0,0,0,3,1432,-20,2,-1003,
2025,2,27,17,48,56,780,100,0,0,0,3,1431,-21,3,-1006,
2025,2,27,17,48,57,780,100,0,0,0,3,1430,-23,2,-1004,
2025,2,27,17,48,58,780,100,0,0,0,3,1429,-18,0,-1005,
2025,2,27,17,48,59,780,100,0,0,0,3,1429,-16,3,-1002,
2025,2,27,17,49,0,780,100,0,0,0,3,1429,-23,2,-1009,
2025,2,27,17,49,1,780,100,0,0,0,3,1432,-18,1,-1008,
2025,2,27,17,49,2,780,100,0,0,0,3,1436,-19,0,-1006,
2025,2,27,17,49,3,780,100,0,0,0,3,1440,-22,0,-1009,
2025,2,27,17,49,4,780,100,0,0,0,3,1443,-22,0,-1003,
2025,2,27,17,49,5,780,100,0,0,0,3,1445,-21,1,-1005,
2025,2,27,17,49,6,770,100,0,0,0,3,1447,-16,3,-1009,
2025,2,27,17,49,7,780,100,0,0,0,3,1449,-19,0,-1006,
2025,2,27,17,49,8,780,100,0,0,0,3,1450,-17,0,-1011,
2025,2,27,17,49,9,780,100,0,0,0,3,1451,-19,4,-1005,
2025,2,27,17,49,10,780,100,0,0,0,3,1453,-22,6,-1006,
2025,2,27,17,49,11,780,100,0,0,0,3,1455,-21,1,-1002,
2025,2,27,17,49,12,790,100,0,0,0,3,1456,-21,2,-1005,
2025,2,27,17,49,13,790,100,0,0,0,3,1458,-19,2,-1010,
2025,2,27,17,49,14,790,100,0,0,0,3,1459,-18,-2,-1008,
2025,2,27,17,49,15,800,100,0,0,0,3,1460,-20,0,-1006,
2025,2,27,17,49,16,800,100,0,0,0,3,1462,-24,2,-1007,
2025,2,27,17,49,17,800,100,0,0,0,3,1463,-18,3,-1005,
2025,2,27,17,49,18,800,100,0,0,0,3,1462,-17,1,-1007,
2025,2,27,17,49,19,800,100,0,0,0,3,1462,-18,0,-1008,
2025,2,27,17,49,20,800,100,0,0,0,3,1461,-16,1,-1007,
2025,2,27,17,49,21,810,100,0,0,0,3,1459,-19,2,-1009,
2025,2,27,17,49,22,810,100,0,0,0,3,1458,-20,5,-1009,
2025,2,27,17,49,23,810,100,0,0,0,3,1457,-19,1,-1009,
2025,2,27,17,49,24,810,100,0,0,0,3,1455,-16,1,-1008,
2025,2,27,17,49,25,800,100,0,0,0,3,1454,-22,2,-1011,
2025,2,27,17,49,26,800,100,0,0,0,3,1454,-17,4,-1008,
2025,2,27,17,49,27,800,100,0,0,0,3,1453,-20,4,-1009,
2025,2,27,17,49,28,790,100,0,0,0,3,1452,-18,-2,-1007,
2025,2,27,17,49,29,790,100,0,0,0,3,1451,-23,0,-1007,
2025,2,27,17,49,30,790,100,0,0,0,3,1451,-16,4,-1005,
2025,2,27,17,49,31,790,100,0,0,0,3,1450,-15,0,-1010,
2025,2,27,17,49,32,790,100,0,0,0,3,1450,-18,8,-1006,
2025,2,27,17,49,33,790,100,0,0,0,3,1447,-18,3,-1008,
2025,2,27,17,49,34,790,100,0,0,0,3,1445,-21,0,-1007,
2025,2,27,17,49,35,780,100,0,0,0,3,1443,-19,0,-1004,
2025,2,27,17,49,36,780,100,0,0,0,3,1441,-20,0,-1007,
2025,2,27,17,49,37,780,100,0,0,0,3,1439,-19,-1,-1009,
2025,2,27,17,49,38,780,100,0,0,0,3,1438,-18,2,-1007,
2025,2,27,17,49,39,780,100,0,0,0,3,1436,-20,2,-1006,
2025,2,27,17,49,40,780,100,0,0,0,3,1435,-19,4,-1009,
2025,2,27,17,49,41,780,100,0,0,0,3,1434,-15,0,-1007,
2025,2,27,17,49,42,780,100,0,0,0,3,1437,-22,3,-1009,
2025,2,27,17,49,43,780,100,0,0,0,3,1439,-22,0,-1010,
2025,2,27,17,49,43,770,100,0,0,0,3,1441,-22,0,-1010,
2025,2,27,17,49,44,760,100,0,0,0,3,1443,-15,-2,-1007,
2025,2,27,17,49,45,760,100,0,0,0,3,1445,-23,0,-1009,
2025,2,27,17,49,46,760,100,0,0,0,3,1447,-22,0,-1005,
2025,2,27,17,49,47,760,100,0,0,0,3,1450,-17,2,-1007,
2025,2,27,17,49,48,770,100,0,0,0,3,1453,-16,3,-1011,
2025,2,27,17,49,49,760,100,0,0,0,3,1455,-19,3,-1005,
2025,2,27,17,49,50,760,100,0,0,0,3,1458,-22,3,-1008,
2025,2,27,17,49,51,760,100,0,0,0,3,1460,-18,2,-1005,
2025,2,27,17,49,52,750,100,0,0,0,3,1461,-21,1,-1009,
2025,2,27,17,49,53,740,100,0,0,0,3,1463,-17,5,-1008,
2025,2,27,17,49,54,740,100,0,0,0,3,1465,-20,0,-1007,
2025,2,27,17,49,55,730,100,0,0,0,3,1467,-18,0,-1005,
2025,2,27,17,49,56,740,100,0,0,0,3,1469,-18,0,-1006,
2025,2,27,17,49,57,750,100,0,0,0,3,1469,-19,0,-1006,
2025,2,27,17,49,58,760,100,0,0,0,3,1469,-20,3,-1007,
2025,2,27,17,49,59,760,100,0,0,0,3,1469,-18,2,-1011,
2025,2,27,17,50,0,760,100,0,0,0,3,1469,-20,4,-1006,
2025,2,27,17,50,1,760,100,0,0,0,3,1469,-21,3,-1008,
2025,2,27,17,50,2,750,100,0,0,0,3,1469,-20,0,-1004,
2025,2,27,17,50,3,750,100,0,0,0,3,1470,-20,1,-1006,
2025,2,27,17,50,4,760,100,0,0,0,3,1469,-19,-1,-1007,
2025,2,27,17,50,5,770,100,0,0,0,3,1467,-21,4,-1002,
2025,2,27,17,50,6,770,100,0,0,0,3,1463,-15,0,-1007,
2025,2,27,17,50,7,780,100,0,0,0,3,1458,-20,1,-1006,
2025,2,27,17,50,8,780,100,0,0,0,3,1453,-24,2,-1005,
2025,2,27,17,50,9,770,100,0,0,0,3,1448,-20,6,-1001,
2025,2,27,17,50,10,760,100,0,0,0,3,1444,-21,0,-1009,
2025,2,27,17,50,11,760,100,0,0,0,3,1440,-19,3,-1007,
2025,2,27,17,50,12,750,100,0,0,0,3,1437,-19,1,-1005,
2025,2,27,17,50,13,750,100,0,0,0,3,1434,-17,-2,-1006,
2025,2,27,17,50,14,760,100,0,0,0,3,1431,-23,0,-1006,
2025,2,27,17,50,15,760,100,0,0,0,3,1430,-20,3,-1007,
2025,2,27,17,50,16,760,100,0,0,0,3,1430,-21,1,-1007,
2025,2,27,17,50,17,760,100,0,0,0,3,1430,-20,3,-1006,
2025,2,27,17,50,18,760,100,0,0,0,3,1431,-16,2,-1007,
2025,2,27,17,50,19,750,100,0,0,0,3,1431,-18,3,-1005,
2025,2,27,17,50,20,750,100,0,0,0,3,1431,-20,1,-1009,
2025,2,27,17,50,21,750,100,0,0,0,3,1431,-22,1,-1008,
2025,2,27,17,50,22,760,100,0,0,0,3,1432,-18,0,-1007,
2025,2,27,17,50,23,760,100,0,0,0,3,1432,-15,0,-1004,
2025,2,27,17,50,24,760,100,0,0,0,3,1432,-20,2,-1008,
2025,2,27,17,50,25,750,100,0,0,0,3,1434,-20,3,-1005,
2025,2,27,17,50,26,750,100,0,0,0,3,1437,-17,0,-1010,
2025,2,27,17,50,27,750,100,0,0,0,3,1440,-18,0,-1005,
2025,2,27,17,50,28,740,100,0,0,0,3,1443,-18,2,-1007,
2025,2,27,17,50,29,740,100,0,0,0,3,1446,-18,0,-1006,
2025,2,27,17,50,30,740,100,0,0,0,3,1448,-20,4,-1008,
2025,2,27,17,50,31,740,100,0,0,0,3,1450,-19,0,-1009,
2025,2,27,17,50,32,740,100,0,0,0,3,1452,-20,4,-1007,
2025,2,27,17,50,33,740,100,0,0,0,3,1453,-18,2,-1007,
2025,2,27,17,50,34,740,100,0,0,0,3,1455,-18,0,-1011,
2025,2,27,17,50,35,740,100,0,0,0,3,1455,-22,2,-1007,
2025,2,27,17,50,36,740,75,0,0,0,3,1455,-21,1,-1004,
2025,2,27,17,50,37,740,75,0,0,0,3,1455,-20,-1,-1007,
2025,2,27,17,50,38,740,100,0,0,0,3,1455,-18,9,-1006,
2025,2,27,17,50,39,750,100,0,0,0,3,1455,-19,0,-1010,
2025,2,27,17,50,40,750,100,0,0,0,3,1455,-19,0,-1005,
2025,2,27,17,50,41,750,100,0,0,0,3,1455,-17,0,-1005,
2025,2,27,17,50,42,750,100,0,0,0,3,1455,-21,0,-1006,
2025,2,27,17,50,43,760,100,0,0,0,3,1455,-21,1,-1006,
2025,2,27,17,50,44,760,100,0,0,0,3,1455,-23,4,-1010,
2025,2,27,17,50,45,760,100,0,0,0,3,1455,-23,2,-1008,
2025,2,27,17,50,46,760,100,0,0,0,3,1455,-19,5,-1007,
2025,2,27,17,50,47,760,100,0,0,0,3,1455,-19,0,-1005,
2025,2,27,17,50,48,760,100,0,0,0,3,1440,-19,3,-1009,
2025,2,27,17,50,49,770,100,0,0,0,3,1427,-22,0,-1007,
2025,2,27,17,50,50,760,100,0,0,0,3,1416,-19,-1,-1004,
2025,2,27,17,50,51,760,100,0,0,0,3,1405,-21,0,-1008,
2025,2,27,17,50,52,760,100,0,0,0,3,1396,-22,6,-1006,
2025,2,27,17,50,53,770,100,0,0,0,3,1388,-20,0,-1008,
2025,2,27,17,50,54,770,100,0,0,0,3,1380,-20,1,-1004,
2025,2,27,17,50,55,770,100,0,0,0,3,1374,-19,2,-1007,
2025,2,27,17,50,56,770,100,0,0,0,3,1368,-18,0,-1004,
2025,2,27,17,50,57,770,100,0,0,0,3,1365,-17,1,-1004,
2025,2,27,17,50,58,770,100,0,0,0,3,1362,-18,2,-1012,
2025,2,27,17,50,59,770,100,0,0,0,3,1360,-21,3,-1006,
2025,2,27,17,51,0,770,100,0,0,0,3,1358,-18,6,-1007,
2025,2,27,17,51,1,770,100,0,0,0,3,1358,-18,5,-1009,
2025,2,27,17,51,2,780,100,0,0,0,3,1358,-19,3,-1006,
2025,2,27,17,51,3,780,100,0,0,0,3,1358,-18,2,-1005,
2025,2,27,17,51,4,780,100,0,0,0,3,1358,-21,0,-1005,
2025,2,27,17,51,5,790,100,0,0,0,3,1358,-22,0,-1008,
2025,2,27,17,51,6,790,100,0,0,0,3,1358,-22,5,-1004,
2025,2,27,17,51,7,800,100,0,0,0,3,1358,-23,1,-1005,
2025,2,27,17,51,8,800,100,0,0,0,3,1359,-22,4,-1006,
2025,2,27,17,51,9,810,100,0,0,0,3,1359,-19,-2,-1009,
2025,2,27,17,51,10,820,100,0,0,0,3,1361,-19,2,-1009,
2025,2,27,17,51,11,820,100,0,0,0,3,1361,-22,0,-1009,
2025,2,27,17,51,12,820,100,0,0,0,3,1361,-19,5,-1005,
2025,2,27,17,51,13,820,100,0,0,0,3,1361,-18,1,-1007,
2025,2,27,17,51,14,820,100,0,0,0,3,1361,-19,1,-1006,
2025,2,27,17,51,15,820,100,0,0,0,3,1361,-19,0,-1009,
2025,2,27,17,51,16,820,100,0,0,0,3,1361,-20,3,-1002,
2025,2,27,17,51,17,820,100,0,0,0,3,1361,-20,1,-1008,
2025,2,27,17,51,18,820,75,0,0,0,3,1361,-21,-2,-1010,
