0 SpO2 Coeff  0 0 0 0  FFD7FBDD  0AB61FE
Ver: 0 33 12 0
rd algo size: 1 33 
rd algo size: 1 33 
rd algo size: 1 33 
rd algo size: 1 33 
sens+algo 
1.2 Status: 0
1.5 Status: 0
1.6 Status: 0
1.7 Status: 0
1.8 Status: 0
map leds to slots 0
map HR to slots/PDs 0
map SpO2 to slots/PDs 0
1.14 status: 0
1.31 part id afe 0 25
1.32 who accel 0 1b
ppg1,ppg2,ppg3,ppg4,x,y,z,hr,hr_conf,spo2,spo2_conf,spo2_lo,spo2_unrel,scd,
164223,16141,423809,436130,-22,-247,977,680,100,0,0,0,0,3,
164304,16169,423897,436449,-23,-249,977,680,100,0,0,0,0,3,
164298,16180,423888,436611,-23,-248,979,680,100,0,0,0,0,3,
164300,16180,423888,436738,-22,-249,978,680,100,0,0,0,0,3,
164302,16177,423926,436847,-24,-249,978,680,100,0,0,0,0,3,
164355,16189,424017,437065,-29,-248,978,680,100,0,0,0,0,3,
164458,16200,424117,437359,-23,-250,978,680,100,0,0,0,0,3,
164631,16212,424342,437692,-22,-249,978,680,100,0,0,0,0,3,
164755,16223,424440,437943,-21,-249,978,680,100,0,0,0,0,3,
164892,16237,424574,438202,-23,-250,977,680,100,0,0,0,0,3,
165052,16246,424663,438417,-25,-250,978,680,100,0,0,0,0,3,
165180,16262,424771,438621,-22,-249,977,680,100,0,0,0,0,3,
165333,16277,424884,438850,-23,-250,977,680,100,0,0,0,0,3,
165471,16286,424957,439041,-22,-250,979,680,100,0,0,0,0,3,
165617,16307,425081,439288,-25,-250,978,680,100,0,0,0,0,3,
165724,16307,424984,439189,-23,-250,977,680,100,0,0,0,0,3,
165113,16210,423938,437677,-24,-249,975,680,100,0,0,0,0,3,
164045,16090,422971,436218,-25,-250,977,680,100,0,0,0,0,3,
163558,16066,422654,435802,-24,-250,978,680,100,0,0,0,0,3,
163478,16081,422622,435852,-19,-250,976,680,100,0,0,0,0,3,
163533,16098,422701,436005,-24,-250,978,680,100,0,0,0,0,3,
163651,16124,422834,436267,-23,-250,977,680,100,0,0,0,0,3,
163782,16150,422935,436544,-22,-249,977,680,100,0,0,0,0,3,
163899,16159,423005,436740,-23,-248,977,680,100,0,0,0,0,3,
164012,16162,423079,436846,-23,-250,979,680,100,0,0,0,0,3,
164069,16165,423089,436950,-21,-249,979,680,100,0,0,0,0,3,
164167,16180,423187,437137,-23,-249,979,680,100,0,0,0,0,3,
164289,16198,423267,437391,-23,-249,978,680,100,0,0,0,0,3,
164488,16215,423459,437709,-24,-249,978,680,100,0,0,0,0,3,
164671,16229,423587,437943,-22,-249,977,680,100,0,0,0,0,3,
164822,16246,423682,438164,-22,-250,978,680,100,0,0,0,0,3,
164981,16261,423789,438368,-20,-249,978,680,100,0,0,0,0,3,
